epoch,train_loss,train_species_loss,train_domain_loss,train_species_accuracy,train_domain_accuracy,val_loss,val_species_loss,val_domain_loss,val_species_accuracy,val_species_balanced_accuracy,val_domain_accuracy,val_domain_balanced_accuracy,lr
1,0.617036,0.597907,0.019129,0.776767,0.99406,0.39971,0.393996,0.005714,0.851914,0.759568,0.998165,0.537327,0.001
2,0.450283,0.443943,0.00634,0.833702,0.997505,0.336623,0.332581,0.004042,0.87754,0.787316,0.998525,0.606564,0.001
3,0.409437,0.404538,0.004899,0.848872,0.998235,0.332191,0.328632,0.003559,0.877212,0.805481,0.998853,0.677586,0.001
4,0.389143,0.38464,0.004503,0.856623,0.998399,0.293059,0.290133,0.002927,0.893138,0.795246,0.999082,0.789324,0.001
5,0.370648,0.366941,0.003707,0.863574,0.99868,0.306789,0.303976,0.002812,0.886584,0.804152,0.998951,0.68673,0.001
6,0.359012,0.355392,0.003621,0.868067,0.998647,0.294976,0.291818,0.003158,0.891598,0.826455,0.998886,0.683994,0.001
7,0.347461,0.343993,0.003468,0.872261,0.99876,0.286785,0.28407,0.002714,0.895137,0.853628,0.999214,0.715456,0.001
8,0.336685,0.333506,0.003179,0.87623,0.998891,0.274623,0.271673,0.002951,0.89884,0.828965,0.999181,0.707586,0.001
9,0.329502,0.326462,0.003039,0.87851,0.998947,0.276305,0.273596,0.002709,0.899037,0.845083,0.999017,0.710204,0.001
10,0.321862,0.318843,0.003019,0.88188,0.998895,0.258089,0.255411,0.002678,0.904706,0.831548,0.999181,0.728097,0.001
11,0.31651,0.313861,0.002649,0.883064,0.99905,0.269544,0.266857,0.002687,0.900511,0.835061,0.999181,0.726895,0.001
12,0.309267,0.30642,0.002847,0.885994,0.998994,0.255644,0.253166,0.002478,0.907131,0.851755,0.999148,0.741942,0.001
13,0.305558,0.302897,0.002661,0.887609,0.999003,0.259565,0.256989,0.002576,0.905263,0.797675,0.999082,0.728609,0.001
14,0.301566,0.29873,0.002836,0.888531,0.998956,0.255218,0.25266,0.002558,0.906148,0.801371,0.999017,0.716478,0.001
