seed,epochs_ran,best_epoch,best_model_test_species_accuracy,best_model_test_species_balanced_accuracy,best_model_BA_seen,best_model_BA_unseen,best_model_DSG
42,19,14,0.788184,0.536415,0.881279,0.155747,0.725532
1024,19,14,0.78631,0.551956,0.886563,0.167227,0.719336
1234,38,33,0.787669,0.526124,0.898852,0.146719,0.752133
2023,44,39,0.79263,0.548127,0.888662,0.208534,0.680128
2024,16,11,0.777198,0.541383,0.860701,0.184393,0.676308
2048,30,25,0.783077,0.551909,0.888263,0.183941,0.704322
3407,14,8,0.772275,0.506582,0.870705,0.150768,0.719937
4096,23,18,0.776647,0.547047,0.8766,0.184314,0.692287
8192,14,7,0.773855,0.547305,0.868819,0.200488,0.668331
10086,19,14,0.789102,0.554332,0.885376,0.169003,0.716373
